cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
cf7a3f9c0150aa3cac7973fe,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d076_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Tell me where the invaders are...!,"Sag mir, wo die Eindringlinge sind...!",translate,translated,displayed-string,74f0073a04231997baa0164166eec8539c066e9deb7f357e80e4c08645399f12
38223f19d1de3904f0b110fa,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d076_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
9d7d1a06a964a17cf2c5c3dd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d076_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Tell me where the invaders are...!,"Sag mir, wo die Eindringlinge sind...!",translate,translated,displayed-string,74f0073a04231997baa0164166eec8539c066e9deb7f357e80e4c08645399f12
149c13510953c9400b33f820,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d076_m010_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)I decided to trust the Devil just this once.},"{fc(57e4f1)Ich habe beschlossen, dem Teufel nur dieses eine Mal zu vertrauen.}",translate,translated,displayed-string:fc-repair,5a8fe822476a877d568b8efc8fd84c999796a320e762a71740e2939a20c2da1e
e5782f2afce533588f46daa8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d076_m010_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)I decided to trust the Devil just this once.},"{fc(57e4f1)Ich habe beschlossen, dem Teufel nur dieses eine Mal zu vertrauen.}",translate,translated,displayed-string:fc-repair,5a8fe822476a877d568b8efc8fd84c999796a320e762a71740e2939a20c2da1e
df4ffc19a1cab8d0c264dbd8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d076_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)Things aren't getting better anyway. As shady as this offer is, I have to hang on to this glimmer of hope...!}","{fc(57e4f1)So schattig dieses Angebot auch ist, ich muss an diesem Hoffnungsschimmer festhalten...!}",translate,translated,displayed-string:fc-repair,9555cf9f0f0b74f9f67f77678d5f1701f54928e40409632e6d43e1fc70256157
b492925a9924537a57563b33,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d076_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)Things aren't getting better anyway. As shady as this offer is, I have to hang on to this glimmer of hope...!}","{fc(57e4f1)So schattig dieses Angebot auch ist, ich muss an diesem Hoffnungsschimmer festhalten...!}",translate,translated,displayed-string:fc-repair,9555cf9f0f0b74f9f67f77678d5f1701f54928e40409632e6d43e1fc70256157
34f65a4a220fbbfc985ad290,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d076_m010_010.mbe/000_Sheet1.csv,4,2,string 2,You're such a romantic. Choosing emotion over logic? I could weep.,"Du bist so ein Romantiker, du wählst Gefühle über Logik?",translate,translated,displayed-string,e4856c94ef7ae0f17dfe08249f11b7f2e2577fa331556988a5d42cc6e8c9f78f
7affec78add988086b4a7ab2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d076_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
143fc84d693feb701ddcaac3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aaaaa_d076_m010_010.mbe/000_Sheet1.csv,4,4,string 4,You're such a romantic. Choosing emotion over logic? I could weep.,"Du bist so ein Romantiker, du wählst Gefühle über Logik?",translate,translated,displayed-string,e4856c94ef7ae0f17dfe08249f11b7f2e2577fa331556988a5d42cc6e8c9f78f
