cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
5199d9df420f6588190dd0a9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)I couldn't sit still all day. It was Day 84...},{fc(57e4f1)Ich konnte nicht den ganzen Tag still sitzen.},translate,translated,displayed-string:fc-repair,f9f4b63f92707a5ef5da0c212c65ff84167c8faa647933462db4be684fd0beae
26da4700982cc3e3a8dfedf5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)I couldn't sit still all day. It was Day 84...},{fc(57e4f1)Ich konnte nicht den ganzen Tag still sitzen.},translate,translated,displayed-string:fc-repair,f9f4b63f92707a5ef5da0c212c65ff84167c8faa647933462db4be684fd0beae
865aa992e57bd25176f4cd90,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)This would be a fateful day for Hiruko and I. No, for the whole Special Defense Unit.}","{fc(57e4f1)Dies wäre ein schicksalhafter Tag für Hiruko und I. Nein, für die gesamte Spezialverteidigungseinheit.}",translate,translated,displayed-string:fc-repair,44a405f38dc77f836fe882344e1d51f75b7b43c3b2c3fcdc839ef33283589a16
478a339c1e5c6e1a53127a22,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)This would be a fateful day for Hiruko and I. No, for the whole Special Defense Unit.}","{fc(57e4f1)Dies wäre ein schicksalhafter Tag für Hiruko und I. Nein, für die gesamte Spezialverteidigungseinheit.}",translate,translated,displayed-string:fc-repair,44a405f38dc77f836fe882344e1d51f75b7b43c3b2c3fcdc839ef33283589a16
4bee5b491b85be251235e3d1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)When the clock struck eleven tonight, the Wrong Guess timeline team would jump here.}","{fc(57e4f1)Als die Uhr heute Abend elf schlug, sprang das Timeline-Team von Wrong Guess hierher.}",translate,translated,displayed-string:fc-repair,b4cef0be7edb0c70fc6d31e7b840d8ce856c6b1375f8ef2df08dba9111931342
54c52ae0844afe88a0e29622,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)When the clock struck eleven tonight, the Wrong Guess timeline team would jump here.}","{fc(57e4f1)Als die Uhr heute Abend elf schlug, sprang das Timeline-Team von Wrong Guess hierher.}",translate,translated,displayed-string:fc-repair,b4cef0be7edb0c70fc6d31e7b840d8ce856c6b1375f8ef2df08dba9111931342
3bfde33afa32be834845a2a9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)Once they told us Takemaru's Livor Mortis Code, we'd have everything we needed.}","{fc(57e4f1)Als sie uns sagten, Takemarus Livor Mortis Code, hätten wir alles, was wir brauchten.}",translate,translated,displayed-string:fc-repair,713af1730056fb2716ba4c0a2b5c03217c7d913a574beaab29c0e0c6bce00e07
301e57d33348d3072ba5056b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)Once they told us Takemaru's Livor Mortis Code, we'd have everything we needed.}","{fc(57e4f1)Als sie uns sagten, Takemarus Livor Mortis Code, hätten wir alles, was wir brauchten.}",translate,translated,displayed-string:fc-repair,713af1730056fb2716ba4c0a2b5c03217c7d913a574beaab29c0e0c6bce00e07
0c4c097a9bffe8b666192a36,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,5,2,string 2,"{fc(57e4f1)I paced around my room, unable to settle down.}","{fc(57e4f1)Ich ging um mein Zimmer herum, konnte mich nicht beruhigen.}",translate,translated,displayed-string:fc-repair,a17ba2959e89648bf0dc12d4688a6f9945f2efd102567673e150a6046f382ae4
f997b909d24093902a530d97,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,5,4,string 4,"{fc(57e4f1)I paced around my room, unable to settle down.}","{fc(57e4f1)Ich ging um mein Zimmer herum, konnte mich nicht beruhigen.}",translate,translated,displayed-string:fc-repair,a17ba2959e89648bf0dc12d4688a6f9945f2efd102567673e150a6046f382ae4
2509f4c61f479198bbb69125,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)I knew I'd never relax like this.},"{fc(57e4f1)Ich wusste, ich würde mich nie so entspannen.}",translate,translated,displayed-string:fc-repair,6a119077105d2d51f1d8fdc82f1d2268ec45d31ca919ca93e7d0f0f5dfb4c3b9
60a8e36b4e40f67e83f049bb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,6,4,string 4,{fc(57e4f1)I knew I'd never relax like this.},"{fc(57e4f1)Ich wusste, ich würde mich nie so entspannen.}",translate,translated,displayed-string:fc-repair,6a119077105d2d51f1d8fdc82f1d2268ec45d31ca919ca93e7d0f0f5dfb4c3b9
0a9c203a86cf10dcb5eb7a1b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,7,2,string 2,I'll go check in on everyone... Maybe that will calm me down.,Vielleicht beruhigt mich das.,translate,translated,displayed-string,94f5bb87b8346b0f36df354290ec91cfc86c87cb579c44db4ea6bac2eeb082a8
28a010e059c54b7961283eb4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0e2bb9fe3524ded5044b0fb9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,7,4,string 4,I'll go check in on everyone... Maybe that will calm me down.,Vielleicht beruhigt mich das.,translate,translated,displayed-string,94f5bb87b8346b0f36df354290ec91cfc86c87cb579c44db4ea6bac2eeb082a8
06b65f87c343d0d9acb6b846,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,8,2,string 2,{fc(57e4f1)And so I went off on my usual rounds.},{fc(57e4f1)Und so ging ich mit meinen üblichen Runden los.},translate,translated,displayed-string:fc-repair,44800c6dc49cd76a8da31a8b208c5f71c44aea8d25adcb958d695d3c8962acfe
e8803f0b5986b890dc426961,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aa_d084_m020_010.mbe/000_Sheet1.csv,8,4,string 4,{fc(57e4f1)And so I went off on my usual rounds.},{fc(57e4f1)Und so ging ich mit meinen üblichen Runden los.},translate,translated,displayed-string:fc-repair,44800c6dc49cd76a8da31a8b208c5f71c44aea8d25adcb958d695d3c8962acfe
